Designator,Mid X,Mid Y,Layer,Rotation
C771,17.399998mm,10.449998mm,Top,270.0
C772,22.299998000000002mm,9.749998mm,Top,180.0
C773,22.299998000000002mm,11.097902999999999mm,Top,180.0
D771,19.199998mm,12.949998mm,Top,180.0
R771,12.799998mm,6.749998mm,Top,180.0
R772,10.899998mm,10.549997999999999mm,Top,270.0
R773,14.499998000000001mm,9.149998mm,Top,180.0
R774,14.499998000000001mm,11.649998mm,Top,180.0
R775,18.699998mm,10.449998mm,Top,270.0
R776,22.299998000000002mm,12.899998mm,Top,180.0
R777,20.199998mm,10.449998mm,Top,270.0
U771,20.099998mm,7.249998mm,Top,0.0
R147,47.999998000000005mm,39.599997mm,Bottom,270.0
R146,17.349998mm,29.699997mm,Bottom,90.0
R141,19.899998mm,54.449997mm,Bottom,180.0
U102,27.184497999999998mm,34.985597mm,Bottom,270.0
R109,49.399998000000004mm,50.449997mm,Bottom,180.0
R108,14.560598mm,49.225397mm,Bottom,0.0
Q103,49.026598mm,49.337997mm,Top,0.0
Q102,49.071298mm,47.304197mm,Bottom,270.0
Q101,11.049998mm,50.444997mm,Bottom,270.0
Q100,14.399998mm,51.504997mm,Bottom,90.0
L100,17.799998000000002mm,49.599997mm,Bottom,180.0
F100,49.699998mm,41.449996999999996mm,Bottom,90.0
C120,23.699998mm,35.099997mm,Bottom,90.0
C107,25.003598mm,34.999997mm,Bottom,270.0
C106,29.297398mm,35.981697mm,Bottom,90.0
U110,16.699998mm,44.799997000000005mm,Bottom,0.0
R145,19.299998000000002mm,47.699996999999996mm,Bottom,180.0
R144,17.999997999999998mm,46.699996999999996mm,Bottom,0.0
R143,10.696798000000001mm,29.931197mm,Bottom,270.0
R107,23.024998mm,47.699996999999996mm,Top,270.0
D108,18.174998000000002mm,50.049997mm,Top,90.0
C233,44.200098000000004mm,21.699997mm,Bottom,270.0
U107,21.699998mm,50.199997mm,Top,90.0
U106,48.900098mm,53.199997mm,Bottom,180.0
C134,19.499997999999998mm,49.999997mm,Top,90.0
C126,47.000098mm,52.799997mm,Bottom,270.0
VD103,48.900098mm,35.324996999999996mm,Bottom,90.0
VD102,49.100098mm,31.541697mm,Bottom,90.0
VD101,49.100098mm,27.758297mm,Bottom,90.0
VD100,49.100098mm,23.974997000000002mm,Bottom,90.0
U109,49.199998mm,23.599997000000002mm,Top,90.0
U108,49.199998mm,27.499997mm,Top,90.0
U103,15.680098000000001mm,36.624997mm,Bottom,270.0
U100,13.400098mm,43.700497mm,Top,90.0
U285,18.099998mm,24.799997mm,Top,0.0
U280,21.199998mm,24.799997mm,Top,180.0
U275,11.799998mm,24.799997mm,Top,0.0
U270,14.899998mm,24.799997mm,Top,180.0
U195,20.599998mm,29.049997mm,Top,90.0
U190,38.599998mm,27.149997mm,Top,180.0
U185,13.499998000000001mm,29.049997mm,Top,90.0
U180,32.799998mm,27.149997mm,Top,180.0
U175,26.999997999999998mm,27.149997mm,Top,180.0
U170,44.399998000000004mm,27.149997mm,Top,180.0
S101,49.599998mm,44.799997000000005mm,Top,90.0
S100,49.599998mm,38.999997mm,Top,270.0
R140,48.300098000000006mm,20.299997mm,Bottom,0.0
R111,10.799998mm,33.849997mm,Bottom,180.0
R112,10.799998mm,34.899997mm,Bottom,180.0
R117,10.799998mm,40.149997mm,Bottom,180.0
R115,10.799998mm,38.049997000000005mm,Bottom,180.0
R116,10.799998mm,39.099997mm,Bottom,180.0
R114,10.799998mm,36.999997mm,Bottom,180.0
R113,10.799998mm,35.949996999999996mm,Bottom,180.0
R110,10.799998mm,32.799997000000005mm,Bottom,180.0
R120,47.199998mm,42.899997mm,Bottom,90.0
R100,10.500098000000001mm,43.699996999999996mm,Bottom,90.0
R258,45.700098000000004mm,19.699997mm,Bottom,270.0
R255,10.499998mm,18.399997mm,Bottom,270.0
R256,45.700098000000004mm,21.699997mm,Bottom,90.0
R254,10.499998mm,20.349997000000002mm,Top,270.0
R257,42.399998000000004mm,18.849997000000002mm,Bottom,0.0
R245,37.600098mm,18.849997000000002mm,Bottom,0.0
R236,32.800098mm,18.849997000000002mm,Bottom,0.0
R227,27.999997999999998mm,18.849997000000002mm,Bottom,0.0
R209,18.399998mm,18.849997000000002mm,Bottom,0.0
R200,13.600098mm,18.849997000000002mm,Bottom,0.0
R197,20.600098000000003mm,30.499997mm,Bottom,180.0
R196,20.599998mm,27.599997000000002mm,Bottom,0.0
R195,23.450098mm,27.099997000000002mm,Bottom,270.0
R191,37.150098mm,27.149997mm,Bottom,270.0
R190,40.050098mm,27.149997mm,Bottom,90.0
R186,13.499998000000001mm,30.499997mm,Bottom,180.0
R185,13.499998000000001mm,27.599997000000002mm,Bottom,0.0
R181,31.350098000000003mm,27.149997mm,Bottom,270.0
R180,34.250098mm,27.149997mm,Bottom,90.0
R176,25.550098mm,27.149997mm,Bottom,270.0
R175,28.450097999999997mm,27.149997mm,Bottom,90.0
R171,42.950098000000004mm,27.149997mm,Bottom,270.0
R170,45.849998mm,27.149997mm,Bottom,90.0
R139,50.099998mm,17.799997mm,Top,270.0
R138,48.899998000000004mm,17.799997mm,Top,270.0
R137,47.699998mm,17.799997mm,Top,270.0
R136,46.499998000000005mm,17.799997mm,Top,270.0
R135,50.099998mm,18.799997mm,Top,90.0
R132,48.899998000000004mm,18.799997mm,Top,90.0
R126,47.699998mm,18.799997mm,Top,90.0
R124,46.499998000000005mm,18.799997mm,Top,90.0
R119,11.199998mm,34.699996999999996mm,Top,90.0
R118,11.199998mm,38.799997000000005mm,Top,90.0
R266,44.199998mm,17.799997mm,Top,270.0
R265,42.999998000000005mm,17.799997mm,Top,270.0
R264,41.799998mm,17.799997mm,Top,270.0
R263,40.599998mm,17.799997mm,Top,270.0
R262,44.199998mm,18.799997mm,Top,90.0
R261,42.999998000000005mm,18.799997mm,Top,90.0
R260,41.799998mm,18.799997mm,Top,90.0
R259,40.599998mm,18.799997mm,Top,90.0
R253,39.399998000000004mm,17.799997mm,Top,90.0
R252,38.199998mm,17.799997mm,Top,90.0
R251,36.999998mm,17.799997mm,Top,90.0
R250,35.799998mm,17.799997mm,Top,90.0
R249,39.399998000000004mm,18.799997mm,Top,270.0
R248,38.199998mm,18.799997mm,Top,270.0
R247,36.999998mm,18.799997mm,Top,270.0
R246,35.799998mm,18.799997mm,Top,270.0
R244,34.599998mm,17.799997mm,Top,270.0
R243,33.399998000000004mm,17.799997mm,Top,270.0
R242,32.199998mm,17.799997mm,Top,270.0
R241,30.999997999999998mm,17.799997mm,Top,270.0
R240,34.599998mm,18.799997mm,Top,90.0
R239,33.399998000000004mm,18.799997mm,Top,90.0
R238,32.199998mm,18.799997mm,Top,90.0
R237,30.999997999999998mm,18.799997mm,Top,90.0
R235,29.799998000000002mm,17.799997mm,Top,90.0
R234,28.599998mm,17.799997mm,Top,90.0
R233,27.399998000000004mm,17.799997mm,Top,90.0
R232,26.199998mm,17.799997mm,Top,90.0
R231,29.799998000000002mm,18.799997mm,Top,270.0
R230,28.599998mm,18.799997mm,Top,270.0
R229,27.399998000000004mm,18.799997mm,Top,270.0
R228,26.199998mm,18.799997mm,Top,270.0
R226,24.999997999999998mm,17.799997mm,Top,270.0
R225,23.799998000000002mm,17.799997mm,Top,270.0
R224,22.599998mm,17.799997mm,Top,270.0
R223,21.399998mm,17.799997mm,Top,270.0
R222,24.999997999999998mm,18.799997mm,Top,90.0
R221,23.799998000000002mm,18.799997mm,Top,90.0
R220,22.599998mm,18.799997mm,Top,90.0
R219,21.399998mm,18.799997mm,Top,90.0
R218,23.199998mm,18.849997000000002mm,Bottom,0.0
R217,20.199998mm,17.799997mm,Top,270.0
R216,18.999997999999998mm,17.799997mm,Top,270.0
R215,17.799998000000002mm,17.799997mm,Top,270.0
R214,16.599998mm,17.799997mm,Top,270.0
R213,20.229998000000002mm,18.799997mm,Top,90.0
R212,18.999997999999998mm,18.799997mm,Top,90.0
R211,17.799998000000002mm,18.799997mm,Top,90.0
R210,16.599998mm,18.799997mm,Top,90.0
R208,15.399998mm,17.799997mm,Top,270.0
R207,14.199998mm,17.799997mm,Top,270.0
R206,12.999998000000001mm,17.799997mm,Top,270.0
R205,11.799998mm,17.799997mm,Top,270.0
R204,15.399998mm,18.799997mm,Top,90.0
